fdate,number of customers without power,county,state,fips
2024-02-04 07:00:00,0,Calaveras County,CA,06009
2024-02-04 08:00:00,0,Calaveras County,CA,06009
2024-02-04 09:00:00,0,Calaveras County,CA,06009
2024-02-04 10:00:00,0,Calaveras County,CA,06009
2024-02-04 11:00:00,0,Calaveras County,CA,06009
2024-02-04 12:00:00,0,Calaveras County,CA,06009
2024-02-04 13:00:00,145,Calaveras County,CA,06009
2024-02-04 14:00:00,145,Calaveras County,CA,06009
2024-02-04 15:00:00,145,Calaveras County,CA,06009
2024-02-04 16:00:00,145,Calaveras County,CA,06009
2024-02-04 17:00:00,146,Calaveras County,CA,06009
2024-02-04 18:00:00,180,Calaveras County,CA,06009
2024-02-04 19:00:00,591,Calaveras County,CA,06009
2024-02-04 20:00:00,594,Calaveras County,CA,06009
2024-02-04 21:00:00,319,Calaveras County,CA,06009
2024-02-04 22:00:00,319,Calaveras County,CA,06009
2024-02-04 23:00:00,498,Calaveras County,CA,06009
2024-02-05 00:00:00,311,Calaveras County,CA,06009
2024-02-05 01:00:00,316,Calaveras County,CA,06009
2024-02-05 02:00:00,302,Calaveras County,CA,06009
2024-02-05 03:00:00,549,Calaveras County,CA,06009
2024-02-05 04:00:00,552,Calaveras County,CA,06009
2024-02-05 05:00:00,552,Calaveras County,CA,06009
2024-02-05 06:00:00,551,Calaveras County,CA,06009
2024-02-05 07:00:00,507,Calaveras County,CA,06009
2024-02-05 08:00:00,507,Calaveras County,CA,06009
2024-02-05 09:00:00,510,Calaveras County,CA,06009
2024-02-05 10:00:00,713,Calaveras County,CA,06009
2024-02-05 11:00:00,510,Calaveras County,CA,06009
2024-02-05 12:00:00,507,Calaveras County,CA,06009
2024-02-05 13:00:00,458,Calaveras County,CA,06009
2024-02-05 14:00:00,620,Calaveras County,CA,06009
2024-02-05 15:00:00,471,Calaveras County,CA,06009
2024-02-05 16:00:00,309,Calaveras County,CA,06009
2024-02-05 17:00:00,292,Calaveras County,CA,06009
2024-02-05 18:00:00,240,Calaveras County,CA,06009
2024-02-05 19:00:00,235,Calaveras County,CA,06009
2024-02-05 20:00:00,209,Calaveras County,CA,06009
2024-02-05 21:00:00,206,Calaveras County,CA,06009
2024-02-05 22:00:00,206,Calaveras County,CA,06009
2024-02-05 23:00:00,3,Calaveras County,CA,06009
2024-02-06 00:00:00,3,Calaveras County,CA,06009
2024-02-06 01:00:00,3,Calaveras County,CA,06009
2024-02-06 02:00:00,3,Calaveras County,CA,06009
2024-02-06 03:00:00,3,Calaveras County,CA,06009
2024-02-06 04:00:00,3,Calaveras County,CA,06009
2024-02-06 05:00:00,3,Calaveras County,CA,06009
2024-02-06 06:00:00,3,Calaveras County,CA,06009
2024-02-06 07:00:00,3,Calaveras County,CA,06009
2024-02-06 08:00:00,3,Calaveras County,CA,06009
2024-02-06 09:00:00,3,Calaveras County,CA,06009
2024-02-03 00:00:00,0,Colusa County,CA,06011
2024-02-03 01:00:00,0,Colusa County,CA,06011
2024-02-03 02:00:00,0,Colusa County,CA,06011
2024-02-03 03:00:00,0,Colusa County,CA,06011
2024-02-03 04:00:00,0,Colusa County,CA,06011
2024-02-03 05:00:00,0,Colusa County,CA,06011
2024-02-03 06:00:00,0,Colusa County,CA,06011
2024-02-03 07:00:00,0,Colusa County,CA,06011
2024-02-03 08:00:00,0,Colusa County,CA,06011
2024-02-03 09:00:00,0,Colusa County,CA,06011
2024-02-03 10:00:00,0,Colusa County,CA,06011
2024-02-03 11:00:00,4,Colusa County,CA,06011
2024-02-03 12:00:00,4,Colusa County,CA,06011
